Sezione elettorale,Movimento 5 Stelle,Il Popolo della Famiglia,Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare Lorenzin,Partito Democratico,Italia Europa Insieme,+ Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d'Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Votanti,Totale Voti Non Validi
155,66,4,1,0,5,144,5,66,2,90,81,39,1,0,15,33,4,594,15
156,43,8,0,1,6,117,7,51,1,67,73,19,1,1,1,23,1,461,15
157,63,1,1,1,7,147,8,53,2,91,67,32,1,1,8,35,1,559,12
158,55,2,2,1,2,147,11,42,3,87,87,28,0,2,9,39,2,554,6
159,69,0,0,1,8,149,13,46,9,97,91,34,3,1,6,19,2,581,9
160,80,0,1,3,2,110,18,32,7,54,62,24,3,0,10,37,3,485,17
161,58,6,2,3,5,137,5,45,3,65,56,18,0,1,14,32,3,481,11
162,65,6,1,1,9,144,6,57,0,62,65,20,2,1,12,37,1,523,8
163,50,8,0,1,5,121,7,68,2,65,56,21,1,0,13,34,0,485,7
164,66,1,0,1,10,122,19,42,5,76,68,33,1,0,5,23,3,508,6
165,63,5,0,1,8,164,12,52,4,58,63,20,2,4,9,36,3,538,12
166,66,3,0,0,7,154,8,38,5,94,66,26,0,0,8,36,0,540,10
167,72,6,1,0,12,127,8,38,6,52,65,29,2,4,7,48,3,519,6
168,65,7,2,1,5,134,14,48,3,65,57,32,2,1,7,25,7,509,9
169,81,0,2,8,4,114,9,40,2,41,60,9,0,0,11,34,2,450,14
170,71,0,1,4,2,136,10,25,2,43,46,12,1,0,11,39,3,486,50
171,84,1,1,0,3,148,8,33,1,52,72,18,1,0,11,50,1,518,12
172,67,1,1,0,2,127,12,47,3,80,80,33,2,1,7,33,6,540,9
173,72,3,1,4,5,175,4,54,3,53,66,18,1,1,11,43,8,564,8
174,79,4,0,5,6,131,14,36,2,35,87,26,0,2,8,38,6,510,9
175,93,1,1,0,3,139,4,45,6,52,59,13,4,0,7,40,1,503,12
176,63,0,1,1,4,134,1,29,2,59,51,20,0,2,10,35,4,453,11
177,105,1,1,3,5,103,13,31,3,35,50,19,2,0,8,43,4,460,9
178,83,3,0,1,1,146,8,41,1,43,71,19,3,0,13,39,3,508,11
179,138,3,0,5,3,100,8,34,1,24,46,12,1,2,14,31,0,460,10
180,104,2,1,1,3,117,4,17,4,57,74,20,1,0,13,31,0,477,15
181,88,2,2,5,2,120,11,28,1,42,75,19,3,0,9,38,2,475,12
182,95,3,1,2,4,87,1,15,5,31,47,14,2,1,6,39,1,388,15
183,86,3,1,0,6,133,7,27,1,65,60,25,3,0,6,38,2,487,9
184,111,1,1,2,0,139,3,29,0,36,67,18,1,0,5,28,0,482,9
185,81,3,0,4,2,134,7,33,3,28,40,10,0,0,16,47,3,444,15
186,98,1,0,2,1,111,6,36,1,21,54,20,3,0,11,31,1,437,10
187,111,0,2,1,1,135,6,29,2,42,65,18,0,2,8,31,4,487,13
188,113,1,0,3,3,119,11,19,2,48,75,21,2,2,8,37,5,509,9
189,68,2,0,1,5,114,12,38,3,79,69,31,0,3,8,23,0,489,8
